,matched,original
0,Not Matched,FPG1273
1,Not Matched,SW~1004~102
2,Not Matched,SW~1015~102
3,Not Matched,SW~1001~102
4,Not Matched,FPG1152
5,4B398~pale-blue-heavy-georgette,4B398~pale-blue-heavy-georgette~raise-front-neckline
6,Not Matched,FPG1286
7,FPG1042~1043~237~C205~MM,FPG1042~1043~237~C205~KN
8,fp2320~navy-metallic-woven-satin,fp2320~make-ankle-length~navy-metallic-woven-satin
9,FPG1001~1011~102~AK~B16~B3~C7~T15~T2~T30~WB1,FPG1001~1013~102~B22~C9~KN~T64~T85~T90~WB0
10,Not Matched,SW~1008~102
11,Not Matched,SW~1011~102
12,Not Matched,SW~1013~102
13,FPG1004~1005~102~B3~C1~MD~T67~T72~T86~WB1,FPG1004~1018~102~AK~B16~B5~C7~T22~T4~T92~WB1
14,Not Matched,FPG1279~1010~601~FM
15,FPG1005~1004~102~A7~B23~C2~MN~T0~T67~T73,FPG1005~1008~102~A9~AK~B10~C8~T71~T74~T90
16,Not Matched,SW~102~1020
17,FPG1001~1019~102~B3~C1~CM~T46~T67~T93~WB1,FPG1001~1004~102~AK~B1~C9~T26~T64~T90~WB0
18,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1004~102~AK~B16~B5~C6~T31~T76~T90~WB1
19,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1001~102~B5~C7~MD~T15~T26~T3~WB1
20,FPG1005~1013~102~A3~AK~B2~C2~T101~T13~T67,FPG1005~1006~102~A9~B14~B23~C8~CM~T23~T71~T74
21,fp2671~navy-heavy-georgette,fp2671~change-to-plunging-v-back-neckline~navy-heavy-georgette
22,fp2278~navy-matte-satin,fp2278~dusty-rose-matte-satin~lower-backline-to-a-plunging-scoops-back
23,fp2320~navy-metallic-woven-satin,fp2320~add-train~navy-metallic-woven-satin
24,FPG1006~1001~102~AK~B24~C7~T34~T4~T90~WB1,FPG1006~1004~102~A4~B24~C1~FP~T0~T12~T67~WB1
25,FPG1001~1014~102~AK~B22~C5~T00~T91~T94~WB1,FPG1001~1012~102~B3~C9~CM~T26~T64~T90~WB0
26,FPG1002~1009~102~B4~C1~FM~T100~T67~T86,FPG1002~1018~102~B16~B5~C10~MD~T0~T16~T79
27,FPG1001~1011~102~AK~B16~B3~C7~T15~T2~T30~WB1,FPG1001~1005~102~B5~C9~MD~T22~T64~T90~WB0
28,FPG1002~1009~102~B5~C10~KN~T0~T15~T79,FPG1002~1001~102~B4~C7~FM~T71~T76~T91
29,FPG1005~1004~102~A7~B23~C2~MN~T0~T67~T73,FPG1005~1015~102~A9~AK~B10~C8~T23~T32~T74
30,Not Matched,SW~1006~102
31,Not Matched,FPG1279
32,FPG1004~1001~102~AK~B5~C7~T43~T71~T97~WB1,FPG1004~1015~102~A4~B16~B3~C2~CM~T13~T23~T48~WB2
33,FPG1218~101~1050~C98~FM,FPG1218~101~1050~C98~CM
34,Not Matched,SW~1014~102
35,FPG1003~1010~102~B4~C1~CM~T0~T67~T86,FPG1003~1003~102~B28~C7~MN~T33~T4~T90
36,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1004~102~AK~B16~B22~C6~T31~T76~T90~WB1
37,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1005~102~B5~C1~MD~T0~T67~T93~WB2
38,FPG1001~1013~102~B3~C9~CM~T26~T64~T90~WB0,FPG1001~1001~102~AK~B5~C7~T71~T76~T91~WB1
39,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1001~102~AK~B1~C7~T22~T76~T90~WB1
40,FPG1001~1014~102~AK~B22~C5~T00~T91~T94~WB1,FPG1001~1001~102~B3~C7~MD~T22~T76~T90~WB1
41,FPG1001~1003~102~A5~B3~C9~FM~T64~T71~T90~WB0,FPG1001~1001~102~B5~C1~MD~T0~T67~T86~WB1
42,FPG1001~1001~102~AK~B5~C6~T31~T76~T90~WB1,FPG1001~1004~102~A4~B16~B4~C7~FM~T15~T4~T71~WB2
